Date,Open,High,Low,Close,Volume,MA20,MA50,Daily_Return,Lag_1,Lag_2,Lag_3,Lag_5,Lag_10,MA10,STD20,Return_MA10,Return_STD10
2018-03-14,42.323020568345115,42.36996197589975,41.73389462212503,41.88176345825195,117473600,41.26177272796631,40.35747528076172,-0.008501344237749064,42.240867614746094,42.65161895751953,42.24321746826172,41.081390380859375,41.806644439697266,41.70290946960449,0.8390123723898616,0.00023584056171769286,0.011183827467840744
2018-03-15,41.89584418772932,42.30424194138419,41.79492034377192,41.93104934692383,90975200,41.394149208068846,40.390754776000975,0.001176786376748451,41.88176345825195,42.240867614746094,42.65161895751953,41.529685974121094,41.0743522644043,41.78857917785645,0.7092942800054723,0.0021051359223018375,0.009288648499017308
2018-03-16,41.931049301369676,42.04136357525891,41.68929765809745,41.78318405151367,157618800,41.45317916870117,40.42121726989746,-0.003526391485859759,41.93104934692383,41.88176345825195,42.240867614746094,42.24321746826172,41.35835647583008,41.831061935424806,0.6887804772548374,0.0010610574794390204,0.009274787019753717
2018-03-19,41.61888802159753,41.65409318133053,40.759846310114575,41.144771575927734,133787200,41.486860275268555,40.43517127990722,-0.015279172472802749,41.78318405151367,41.93104934692383,41.88176345825195,42.65161895751953,41.501529693603516,41.795386123657224,0.6538145921207945,-0.0008130370098143769,0.010542572158619154
2018-03-20,41.13068771362305,41.49683568443578,41.06027381583607,41.13068771362305,78597600,41.52664318084717,40.43963363647461,-0.00034230016999114987,41.144771575927734,41.78318405151367,41.93104934692383,42.240867614746094,41.466312408447266,41.761823654174805,0.602210327784232,-0.0007624092265920313,0.010543598098494079
2018-03-21,41.083743285691064,41.09547953238162,40.196537473159985,40.19888687133789,148219600,41.52898960113525,40.42849853515625,-0.022654638035058405,41.13068771362305,41.144771575927734,41.78318405151367,41.88176345825195,41.081390380859375,41.67357330322265,0.5966378137966326,-0.002099596544365623,0.012424436811126562
2018-03-22,39.90079799352127,40.529820619288714,39.57220461907548,39.630882263183594,165963200,41.48615493774414,40.40609710693359,-0.014129859117051558,40.19888687133789,41.13068771362305,41.144771575927734,41.93104934692383,41.529685974121094,41.4836929321289,0.6975569763318077,-0.00460382009215281,0.012027764609771507
2018-03-23,39.5229238913069,39.88203087822492,38.713172912597656,38.713172912597656,164115200,41.36222743988037,40.365528411865235,-0.02315641989727979,39.630882263183594,40.19888687133789,41.13068771362305,41.78318405151367,42.24321746826172,41.1306884765625,0.9330399535647289,-0.008637586063326874,0.010587736820728449
2018-03-26,39.44781005466082,40.62840402011539,39.06523065201155,40.55094909667969,150164800,41.28946723937988,40.35708709716797,0.04747159805865464,38.713172912597656,39.630882263183594,40.19888687133789,41.144771575927734,42.65161895751953,40.92062149047852,0.9369142772180892,-0.00485721220260078,0.02021863958754256
2018-03-27,40.76453853670361,41.10956343270425,39.17789604359712,39.51118469238281,163690400,41.171525382995604,40.319388427734374,-0.025640938805597813,40.55094909667969,38.713172912597656,39.630882263183594,41.13068771362305,42.240867614746094,40.64765319824219,1.0059140504325645,-0.00645826797859872,0.02124640318753087
