Date,Open,High,Low,Close,Volume,Lag_1,Lag_2,Lag_3,Lag_5,Lag_10,MA10,MA20,MA50,STD20
2018-01-02,39.776189634537445,40.27643070005527,39.565805677893536,40.2670783996582,102223600,,,,,,,,,
2018-01-03,40.33019115208112,40.80238241744237,40.19695119893329,40.26006317138672,118071600,40.2670783996582,,,,,,,,
2018-01-04,40.3325285848356,40.54992497445396,40.22500210267125,40.44707107543945,89738400,40.26006317138672,40.2670783996582,,,,,,,
2018-01-05,40.54290869011677,40.9940590344742,40.451743391332485,40.907569885253906,94640000,40.44707107543945,40.26006317138672,40.2670783996582,,,,,,
2018-01-08,40.75562286376953,41.05015603918301,40.65744157177521,40.75562286376953,82271200,40.907569885253906,40.44707107543945,40.26006317138672,,,,,,
2018-01-09,40.80237298108045,40.92158802389,40.53588956955712,40.750946044921875,86336000,40.75562286376953,40.907569885253906,40.44707107543945,40.2670783996582,,,,,
2018-01-10,40.47744886221662,40.74393226497454,40.4400468068122,40.74159240722656,95839600,40.750946044921875,40.75562286376953,40.907569885253906,40.26006317138672,,,,,
2018-01-11,40.8117253834916,41.02210929584681,40.788351771134415,40.973018646240234,74670800,40.74159240722656,40.750946044921875,40.75562286376953,40.44707107543945,,,,,
2018-01-12,41.18340935111223,41.459245154422774,41.0595181171993,41.3961296081543,101672400,40.973018646240234,40.74159240722656,40.750946044921875,40.907569885253906,,,,,
2018-01-16,41.5854802262497,41.93378037295478,41.17406808868144,41.18575668334961,118263600,41.3961296081543,40.973018646240234,40.74159240722656,40.75562286376953,,40.768484878540036,,,
2018-01-17,41.176390621417674,41.901040446396664,40.92393560860837,41.8659782409668,137547200,41.18575668334961,41.3961296081543,40.973018646240234,40.750946044921875,40.2670783996582,40.9283748626709,,,
2018-01-18,41.9290910063812,42.099736587663685,41.66728368925117,41.903377532958984,124773600,41.8659782409668,41.18575668334961,41.3961296081543,40.74159240722656,40.26006317138672,41.092706298828126,,,
2018-01-19,41.75144328474837,41.97818843235449,41.4709348901725,41.71638107299805,129700400,41.903377532958984,41.8659782409668,41.18575668334961,40.973018646240234,40.44707107543945,41.21963729858398,,,
2018-01-22,41.44520807643533,41.557410684789765,41.281578529489984,41.37508010864258,108434400,41.71638107299805,41.903377532958984,41.8659782409668,41.3961296081543,40.907569885253906,41.26638832092285,,,
2018-01-23,41.44520916986427,41.94545012192714,41.33300655854965,41.384429931640625,130756400,41.37508010864258,41.71638107299805,41.903377532958984,41.18575668334961,40.75562286376953,41.32926902770996,,,
2018-01-24,41.4335355022149,41.445224095841,40.48681648822852,40.725250244140625,204420400,41.384429931640625,41.37508010864258,41.71638107299805,41.8659782409668,40.750946044921875,41.32669944763184,,,
2018-01-25,40.79304264101837,40.89589656869833,39.862688274304936,39.998268127441406,166116000,40.725250244140625,41.384429931640625,41.37508010864258,41.903377532958984,40.74159240722656,41.25236701965332,,,
2018-01-26,40.206289742269604,40.206289742269604,39.75279962447954,40.09174728393555,156572000,39.998268127441406,40.725250244140625,41.384429931640625,41.71638107299805,40.973018646240234,41.16423988342285,,,
2018-01-29,39.77619070677116,39.77619070677116,39.05388063992829,39.261924743652344,202561600,40.09174728393555,39.998268127441406,40.725250244140625,41.37508010864258,41.3961296081543,40.950819396972655,,,
2018-01-30,38.6938832793173,39.12399627428952,38.499864103281,39.030494689941406,184192800,39.261924743652344,40.09174728393555,39.998268127441406,41.384429931640625,41.18575668334961,40.73529319763183,40.751889038085935,,0.7853884247696177
2018-01-31,39.00711212032881,39.37411310023853,38.92062298841524,39.13801574707031,129915600,39.030494689941406,39.261924743652344,40.09174728393555,40.725250244140625,41.8659782409668,40.46249694824219,40.69543590545654,,0.8591817128471226
2018-02-01,39.07723735439629,39.41618498573111,38.98139593191671,39.21982955932617,188923200,39.13801574707031,39.030494689941406,39.261924743652344,39.998268127441406,41.903377532958984,40.1941421508789,40.64342422485352,,0.9164988147381765
