Date,Open,High,Low,Close,Volume,Daily Return,MA20,MA50,Rolling Std
2018-01-02,39.7761820981515,40.27642306888876,39.565798181369,40.26707077026367,102223600,,,,
2018-01-03,40.33020643744908,40.80239788177346,40.196966433802565,40.26007843017578,118071600,-0.00017364908730965745,,,
2018-01-04,40.332539996518754,40.54993644764723,40.225013483930866,40.44708251953125,89738400,0.004644901268133328,,,
2018-01-05,40.54290490942475,40.994055211711675,40.451739619141776,40.90756607055664,94640000,0.011384839705139038,,,
2018-01-08,40.75564193725586,41.05017525050981,40.65746059931304,40.75564193725586,82271200,-0.0037138394652652673,,,
2018-01-09,40.802376800591794,40.921591854561065,40.53589336412295,40.75094985961914,86336000,-0.0001151270698653839,,,
2018-01-10,40.477456442146824,40.74393989480724,40.440054379738385,40.741600036621094,95839600,-0.00022943816107978687,,,
2018-01-11,40.81173298285246,41.02211693438228,40.78835936614299,40.973026275634766,74670800,0.005680342421644058,,,
2018-01-12,41.18340555601736,41.45924133390934,41.05951433352114,41.39612579345703,101672400,0.010326294059315622,,,
2018-01-16,41.58546481936825,41.93376483703263,41.17405283422285,41.18574142456055,118263600,-0.005082223634795713,,,
2018-01-17,41.17638686955348,41.90103662850465,40.923931879747094,41.86597442626953,137547200,0.01651622571746003,,,
2018-01-18,41.92909864045741,42.09974425280953,41.66729127565983,41.903385162353516,124773600,0.0008935833119056991,,,
2018-01-19,41.75143946684489,41.97818459371661,41.470931097919724,41.71637725830078,129700400,-0.004462835241787255,,,
2018-01-22,41.44520807643533,41.557410684789765,41.281578529489984,41.37508010864258,108434400,-0.008181370773040708,,,
2018-01-23,41.44520916986427,41.94545012192714,41.33300655854965,41.384429931640625,130756400,0.00022597715759098413,,,
2018-01-24,41.4335355022149,41.445224095841,40.48681648822852,40.725250244140625,204420400,-0.015928205090388836,,,
2018-01-25,40.79302707903376,40.89588096747637,39.86267306723772,39.998252868652344,166116000,-0.017851268466861803,,,
2018-01-26,40.206297393461384,40.206297393461384,39.75280718937289,40.09175491333008,156572000,0.0023376532216239365,,,
2018-01-29,39.7761868421077,39.7761868421077,39.05387684544463,39.26192092895508,202561600,-0.02069837018032572,,,
2018-01-30,38.693887061115404,39.124000098125286,38.499867866116375,39.03049850463867,184192800,-0.005894322509975236,40.75189037322998,,0.7853878314978627
2018-01-31,39.00711592226718,39.37411693794769,38.92062678192371,39.13801956176758,129915600,0.0027547958967557573,40.695437812805174,,0.8591806987361171
2018-02-01,39.077244956052496,39.41619265332246,38.981403514928985,39.2198371887207,188923200,0.0020904897046207793,40.64342575073242,,0.9164976901876541
2018-02-02,38.803763796607285,38.990770600564964,37.42459530527834,37.518096923828125,346375200,-0.0433897840193479,40.49697647094727,,1.1530183293178464
2018-02-05,37.190826320809336,38.30818708507509,36.46617651460954,36.580718994140625,290954000,-0.024984687565326902,40.28063411712647,,1.441709194184338
2018-02-06,36.19268567354218,38.270790367350905,35.99866645876102,38.1094970703125,272975200,0.041791908912909737,40.1483268737793,,1.5153613799552696
2018-02-07,38.12351050765929,38.19597476327134,37.18380790882007,37.293670654296875,206434400,-0.021407430659880267,39.975462913513184,,1.6354357349282895
2018-02-08,37.46899643189285,37.634965863191155,36.23943299272922,36.26748275756836,217562000,-0.027516409050775015,39.751757049560545,,1.82063631578385
2018-02-09,36.866003792290925,37.05846466441262,35.26292961094662,36.71109390258789,282690400,0.012231649711805792,39.5386604309082,,1.9170364431899518
2018-02-12,37.20164380833702,38.46673426525093,36.969278939409655,38.18977737426758,243278000,0.04027892700782343,39.37834300994873,,1.887365473547031
2018-02-13,38.01137992863191,38.66857030718875,37.94096603425092,38.57233810424805,130196800,0.010017359520881675,39.2476728439331,,1.8456532322010855
2018-02-14,38.26721850010876,39.32341630642415,38.22966752219258,39.28351593017578,162579600,0.018437508869844965,39.11854991912842,,1.740154381743418
2018-02-15,39.851515600178224,40.62606138201437,39.66609578151257,40.60259246826172,204588800,0.033578372680045376,39.05351028442383,,1.6527024129205516
2018-02-16,40.45471775078253,41.032107382495894,40.31623936113969,40.47114562988281,160704400,-0.003237400136005042,38.99124870300293,,1.568411523090601
2018-02-20,40.381967200086905,40.900675720101226,40.234098347646515,40.335025787353516,135722000,-0.0033633800183009432,38.939245986938474,,1.50100630178302
2018-02-21,40.56503641863772,40.867811539145606,40.13786137607023,40.151947021484375,149886400,-0.004538952493406967,38.87762184143067,,1.4183598201967498
2018-02-22,40.32328643776861,40.827912853294784,40.302163340873086,40.48758316040039,123967600,0.008359149775138519,38.865738487243654,,1.4029774253232428
2018-02-23,40.762198136114456,41.22692422009872,40.73168460558105,41.19171905517578,135249600,0.017391403482539314,38.925411796569826,,1.4771050307370928
2018-02-26,41.39122756389921,42.104746415864476,41.358368213770554,42.006168365478516,152648800,0.019772161225215967,39.021132469177246,,1.612490750562121
2018-02-27,42.03667174392078,42.360569950834076,41.81604319718002,41.870025634765625,155712400,-0.003241017593615503,39.15153770446777,,1.7338807199772843
2018-02-28,42.07422201715211,42.39342858513631,41.790224188970356,41.8066520690918,151128400,-0.0015135783824600235,39.29034538269043,,1.8320269913223137
2018-03-01,41.90522615725141,42.19626857117151,40.52513035651895,41.0743522644043,195208000,-0.01751634652488465,39.38716201782226,,1.8742316772937275
2018-03-02,40.55799246886187,41.37947957033199,40.47584232615504,41.35835647583008,153816000,0.00691439294276841,39.49408798217773,,1.9245107372638606
2018-03-05,41.12365304716473,41.71747068327421,40.96170213160757,41.50153732299805,113605600,0.003461956890178808,39.69326000213623,,1.9153536474558936
2018-03-06,41.75735862101,41.83715935575729,41.33957409039291,41.46631622314453,95154000,-0.0008486697632281714,39.93753986358642,,1.805916826840227
2018-03-07,41.06027110203652,41.27385859802717,40.90301543683224,41.08139419555664,126814000,-0.009282764003353816,40.08613471984863,,1.769484459211116
2018-03-08,41.187022122543205,41.57194742905669,41.090793481964944,41.529701232910156,95096400,0.010912653918693005,40.297936248779294,,1.6682682597530663
2018-03-09,41.76910835419292,42.24791649869535,41.63532156620826,42.243221282958984,128740800,0.017180957937722896,40.59672317504883,,1.4259505918340973
2018-03-12,42.315984655461044,42.80887848962803,42.297210953699,42.6516227722168,128828400,0.00966785857835517,40.89374961853027,,1.1696461467959895
2018-03-13,42.855812120337546,43.069399648429766,42.069533676140765,42.24087142944336,126774000,-0.009630380184291631,41.09630432128906,,1.0176358874495688
2018-03-14,42.323020568345115,42.36996197589975,41.73389462212503,41.88176345825195,117473600,-0.008501433778212664,41.26177558898926,40.357477035522464,0.8390156817889635
2018-03-15,41.89584418772932,42.30424194138419,41.79492034377192,41.93104934692383,90975200,0.001176786376748451,41.39415225982666,40.390756607055664,0.7092970351433363
2018-03-16,41.931049301369676,42.04136357525891,41.68929765809745,41.78318405151367,157618800,-0.003526391485859759,41.45318183898926,40.421218719482425,0.6887835350207545
2018-03-19,41.61888416294302,41.65408931941201,40.75984253110528,41.14476776123047,133787200,-0.015279263770231366,41.48686294555664,40.435172424316406,0.6538174617610528
2018-03-20,41.13068771362305,41.49683568443578,41.06027381583607,41.13068771362305,78597600,-0.00034220748769642206,41.526646041870116,40.43963485717774,0.6022128603631869
2018-03-21,41.08373158969234,41.09546783304174,40.19652602973703,40.198875427246094,148219600,-0.02265491627236571,41.5289924621582,40.42849952697754,0.5966403108104397
2018-03-22,39.90080183419946,40.52982452051389,39.57220842812468,39.63088607788086,165963200,-0.014129483557150935,41.48615760803223,40.406098251342776,0.6975593378601681
2018-03-23,39.5229238913069,39.88203087822492,38.713172912597656,38.713172912597656,164115200,-0.023156513924007527,41.36223030090332,40.365529708862304,0.9330420557324722
2018-03-26,39.44781747650699,40.628411664082556,39.06523800187792,40.55095672607422,150164800,0.04747179513355082,41.289469718933105,40.357088317871096,0.9369156737311365
2018-03-27,40.764534600998445,41.10955946368787,39.177892261077965,39.51118087768555,163690400,-0.02564121619651205,41.1715274810791,40.31938941955566,1.005915849155844
2018-03-28,39.2553474561917,39.905496814461294,38.77184419806612,39.07461929321289,166674000,-0.011049064461629676,41.034925842285155,40.27716697692871,1.096547399020977
2018-03-29,39.38679033049858,40.31155078767656,39.17320279721128,39.3797492980957,153594000,0.007808905381601727,40.950195693969725,40.22744247436523,1.157137547132588
2018-04-02,39.11217992291302,39.65201509761951,38.60285827668735,39.12156677246094,150347200,-0.006556225731158993,40.83835620880127,40.17180610656738,1.2218946861452722
2018-04-03,39.34688574711688,39.60741466237426,38.69908576549835,39.522918701171875,121112000,0.010259096499004805,40.73942527770996,40.127936935424806,1.2452504698440572
2018-04-04,38.69909250610223,40.37257697878735,38.67327419175449,40.27869415283203,138422000,0.019122460498792737,40.680044174194336,40.10600921630859,1.237053084298408
2018-04-05,40.50635822090288,40.89362930170126,40.38900291382461,40.5579948425293,107732800,0.006934204188385529,40.653874206542966,40.089480514526365,1.233647206876439
2018-04-06,40.12846839403067,40.482880082690045,39.47831908067078,39.52056884765625,140021200,-0.025578828512133334,40.55341758728027,40.06538688659668,1.2403586195964937
2018-04-09,39.87264006137012,40.62605912311723,39.865599029495826,39.912540435791016,116070800,0.009918166655083827,40.436883544921876,40.063672637939455,1.1813236093855601
2018-04-10,40.60493090520861,40.83964148847571,40.25990606129403,40.66360855102539,113634400,0.018817847900277185,40.3374828338623,40.07510971069336,1.0628588134201664
2018-04-11,40.42420468274402,40.820866160421915,40.29980835418697,40.47349548339844,89726400,-0.004675263076772795,40.24911403656006,40.099341201782224,0.9652689479688915
2018-04-12,40.7011788428314,41.07436795500068,40.61433345808838,40.87251663208008,91557200,0.009858825977739238,40.19865169525146,40.13618156433105,0.8995699674519851
2018-04-13,41.0227225756048,41.27151526401716,40.804443414359966,41.010986328125,100497200,0.00338784365277478,40.152648544311525,40.1736408996582,0.8269047082758796
2018-04-16,41.081403217619894,41.35366842078155,41.03446180568861,41.26682662963867,86313600,0.00623833573439847,40.126830673217775,40.21458068847656,0.7800496627586421
2018-04-17,41.42408756403929,41.99912799101432,41.40531028061391,41.83483123779297,106421600,0.013764194015983389,40.161333847045896,40.30091537475586,0.8403737478170277
2018-04-18,41.733887619020656,41.9709475967017,41.515608498889755,41.740928649902344,83018000,-0.0022446030045364385,40.19184589385986,40.40411956787109,0.8871950419552087
2018-04-19,40.78331502653571,41.16589447365878,40.525135499803376,40.5579948425293,139235200,-0.02833990152195176,40.209801864624026,40.45308952331543,0.8909708810729606
2018-04-20,40.04163301530664,40.1871524529709,38.82817596401007,38.896244049072266,261964400,-0.040972212751368864,40.17306976318359,40.48514099121094,0.930366617285066
2018-04-23,39.15677362538438,39.17789672189711,38.513665229708735,38.78358459472656,146062000,-0.0028964095917222155,40.17659034729004,40.5354630279541,0.9246672555822157
2018-04-24,38.88450667946601,39.03941654299841,37.84004517183039,38.24374771118164,134768000,-0.013919210645070845,40.06122989654541,40.566116104125975,1.0150123394595385
2018-04-25,38.16864110139597,38.825831574734394,38.11935387520056,38.41039276123047,113528400,0.00435744559626694,40.00619049072266,40.57052841186523,1.0745102565249038
2018-04-26,38.52070551465223,38.89858975322706,38.34467255099439,38.5441780090332,111852000,0.0034830481592411644,39.97966842651367,40.56996520996094,1.1048329413834694
2018-04-27,38.49253285734537,38.56998777396035,37.70155939528785,38.09822082519531,142623200,-0.01157002709289523,39.91559200286865,40.54625930786133,1.1763074941142373
2018-04-30,38.05362736516511,39.25769020153432,37.985559291589546,38.78826904296875,169709600,0.01811234758020741,39.89892711639404,40.50997283935547,1.1904248183349069
2018-05-01,39.05819166644517,39.71303266229741,38.790621726653995,39.6895637512207,214277600,0.023236270410868842,39.90725936889648,40.49434120178223,1.188235664109425
2018-05-02,41.12831816825118,41.71978960596255,40.792683886554066,41.442832946777344,266157600,0.04417456454160984,39.96546630859375,40.5164973449707,1.2349821505967722
2018-05-03,41.280895582468375,41.66112555415438,40.942911793681255,41.51795196533203,136272800,0.0018125937155686334,40.01346416473389,40.54381744384766,1.277157268898995
2018-05-04,41.8371649912268,43.245428609444815,41.81838771321594,43.1468505859375,224805200,0.03923359760051781,40.194778251647946,40.597002792358396,1.4493038584682076
2018-05-07,43.463710341007975,44.04814106669595,43.36278649476054,43.45901870727539,169805600,0.007235015235147468,40.37210216522217,40.642348785400394,1.6198746535359412
2018-05-08,43.41911505261652,43.70780808695571,43.10929534247727,43.66790771484375,113611200,0.004806574418427578,40.52231712341309,40.675583572387694,1.7797390634416335
2018-05-09,43.78527251956743,43.98477442343587,43.47310692497295,43.97538757324219,92844800,0.007041323353670137,40.697411727905276,40.717690811157226,1.9397517626499172
2018-05-10,44.064569122468185,44.68185556216297,44.04344244670562,44.604400634765625,111957200,0.014303752536024783,40.88400592803955,40.7736457824707,2.127856022456142
2018-05-11,44.64682881910434,44.781127924259025,44.166170685934766,44.43477249145508,104848800,-0.003802946366200821,41.05519523620605,40.84085418701172,2.2714863830008567
